부품명,부품사양,매각가능수량_정상,매각가능수량_불량
CPU,인텔 펜티엄4 소켓 775 2.8 GHz,2,0
CPU,인텔 펜티엄4 소켓 775 2.8 GHz,1,0
CPU,인텔 셀러론 소켓1155 3.0 GHz,7,0
CPU,인텔 셀러론 소켓1155 2.8 GHz,7,0
CPU,인텔 셀러론 소켓1155 3.0 GHz,7,0
CPU,인텔 셀러론 소켓1155 3.0 GHz,51,0
CPU,인텔 펜티엄4 소켓 478 1.7 GHz,1,0
CPU,인텔 셀러론 소켓1155 3.0 GHz,6,0
CPU,인텔 셀러론 소켓1155 3.0 GHz,9,0
CPU,인텔 셀러론 소켓1155 3.0 GHz,7,0
CPU,인텔 셀러론 소켓1155 3.0 GHz,9,0
CPU,인텔 셀러론 소켓1155 3.0 GHz,8,0
CPU,인텔 셀러론 소켓1155 3.0 GHz,11,0
CPU,인텔 셀러론 소켓1155 3.0 GHz,7,0
CPU,인텔 셀러론 소켓1155 3.0 GHz,8,0
CPU,인텔 셀러론 소켓1155 3.0 GHz,8,0
CPU,인텔 셀러론 소켓1155 3.0 GHz,5,0
CPU,인텔 셀러론 소켓1155 2.8 GHz,77,0
CPU,인텔 펜티엄4 소켓 775 2.8 GHz,4,0
CPU,인텔 셀러론 소켓1155 3.0 GHz,5,0
CPU,인텔 셀러론 소켓1155 3.0 GHz,7,0
CPU,인텔 셀러론 소켓1155 3.0 GHz,6,0
CPU,인텔 펜티엄4 소켓 775 2.8 GHz,69,0
CPU,인텔 셀러론 소켓1155 2.4 GHz,51,0
CPU,인텔 셀러론 소켓 775 2.66 GHz,52,0
CPU,인텔 셀러론 소켓1155 2.4 GHz,28,0
CPU,인텔 셀러론 소켓1155 2.4 GHz,36,0
CPU,인텔 셀러론 소켓 775 2.66 GHz,64,0
CPU,인텔 코어I5 소켓1155 3.0 GHz,7,0
CPU,인텔 셀러론 소켓1155 2.4 GHz,51,0
CPU,인텔 코어I5 소켓1155 3.0 GHz,6,0
CPU,인텔 펜티엄4 소켓 775 3.0 GHz,44,0
CPU,인텔 코어I5 소켓1155 3.0 GHz,10,0
CPU,인텔 펜티엄 소켓1155 3.0 GHz,1,0
CPU,인텔 펜티엄 소켓1155 3.0 GHz,7,0
CPU,인텔 펜티엄 소켓1155 3.0 GHz,1,0
CPU,인텔 셀러론 소켓 775 2.66 GHz,2,0
CPU,인텔 코어I3 소켓1155 3.0 GHz,3,0
CPU,인텔 코어I5 소켓1155 3.0 GHz,7,0
CPU,인텔 셀러론 소켓1155 2.4 GHz,10,0
CPU,인텔 셀러론 소켓1155 2.4 GHz,12,0
CPU,인텔 셀러론 소켓1155 2.4 GHz,2,0
CPU,인텔 코어I3 소켓1155 3.0 GHz,1,0
CPU,인텔 펜티엄 소켓1155 3.0 GHz,4,0
CPU,인텔 코어2듀오 소켓 775 2.5 GHz,1,0
CPU,인텔 셀러론 소켓1155 2.4 GHz,12,0
CPU,AMD 애슬론 AM2 1100 기타,1,0
CPU,인텔 셀러론 소켓 478 2.6 GHz,2,0
CPU,인텔 셀러론 소켓1155 2.4 GHz,5,0
CPU,인텔 코어I5 소켓1155 3.0 GHz,8,0
CPU,인텔 셀러론 소켓 775 2.66 GHz,2,0
CPU,인텔 셀러론 소켓1155 2.4 GHz,6,0
CPU,인텔 코어I5 소켓1155 3.0 GHz,3,0
CPU,인텔 코어I5 소켓1155 3.0 GHz,7,0
CPU,인텔 코어I5 소켓1155 3.0 GHz,5,0
CPU,인텔 셀러론 소켓 775 2.66 GHz,49,0
CPU,인텔 셀러론 소켓1155 2.4 GHz,1,0
CPU,인텔 코어I5 소켓1155 3.0 GHz,14,0
CPU,인텔 코어I3 소켓1155 3.0 GHz,2,0
CPU,인텔 코어2듀오 소켓 775 2.5 GHz,1,0
CPU,인텔 셀러론 소켓1155 2.4 GHz,2,0
CPU,인텔 코어I5 소켓1155 3.0 GHz,1,0
CPU,인텔 코어I3 소켓1155 3.0 GHz,2,0
CPU,인텔 셀러론 소켓1155 2.4 GHz,50,0
CPU,인텔 셀러론 소켓 775 2.66 GHz,90,0
CPU,인텔 셀러론 소켓1155 2.4 GHz,29,0
CPU,인텔 셀러론 소켓 775 2.66 GHz,21,0
CPU,인텔 셀러론 소켓 775 2.66 GHz,40,0
CPU,인텔 셀러론 소켓1155 2.4 GHz,50,0
CPU,인텔 코어I3 소켓1155 3.1 GHz,2,0
CPU,인텔 셀러론 소켓1155 2.8 GHz,1,0
CPU,인텔 셀러론 소켓1155 2.9 GHz,1,0
CPU,인텔 코어I5 소켓1155 3.3 GHz,1,0
CPU,인텔 펜티엄 소켓1155 4.1 GHz,4,0
CPU,인텔 펜티엄 소켓1155 3.7 GHz,1,0
CPU,인텔 코어2쿼드 소켓 775 2.5 GHz,1,0
CPU,인텔 코어I5 소켓1155 2.8 GHz,1,0
CPU,인텔 코어I5 소켓1155 3.0 GHz,1,0
CPU,인텔 코어I3 소켓1155 3.1 GHz,2,0
CPU,인텔 코어I5 소켓1155 2.8 GHz,1,0
CPU,인텔 코어I5 소켓1155 3.3 GHz,4,0
CPU,인텔 코어I3 소켓1155 3.1 GHz,2,0
CPU,인텔 펜티엄 소켓1155 2.9 GHz,1,0
CPU,인텔 코어I5 소켓1155 3.1 GHz,4,0
CPU,인텔 펜티엄 소켓1155 3.1 GHz,1,0
CPU,인텔 코어I5 소켓1155 3.2 GHz,1,0
CPU,인텔 코어I5 소켓1155 3.3 GHz,2,0
CPU,인텔 코어I5 소켓1155 3.4 GHz,1,0
CPU,인텔 코어I3 소켓1155 3.1 GHz,1,0
CPU,인텔 코어I3 소켓1155 3.4 GHz,3,0
CPU,인텔 코어I3 소켓1155 3.3 GHz,1,0
CPU,인텔 코어I5 소켓1155 3.3 GHz,2,0
CPU,인텔 코어I5 소켓1155 2.66 GHz,1,0
CPU,인텔 코어I5 소켓1155 2.9 GHz,1,0
CPU,인텔 코어I5 소켓1155 3.1 GHz,1,0
CPU,인텔 코어I3 소켓1155 3.1 GHz,7,0
CPU,인텔 코어I3 소켓1155 3.3 GHz,7,0
CPU,인텔 코어I3 소켓1155 3.4 GHz,1,0
CPU,인텔 코어I3 소켓1155 3.3 GHz,1,0
CPU,인텔 코어I5 소켓1155 3.4 GHz,1,0
CPU,인텔 코어I5 소켓1155 3.3 GHz,2,0
CPU,인텔 코어I5 소켓1155 3.0 GHz,1,0
CPU,인텔 코어I5 소켓1155 2.8 GHz,2,0
CPU,인텔 코어I5 소켓1155 3.0 GHz,1,0
CPU,인텔 코어I3 소켓1155 3.7 GHz,1,0
CPU,인텔 코어I5 소켓1155 3.3 GHz,2,0
CPU,인텔 코어I5 소켓1155 3.2 GHz,5,0
CPU,인텔 코어I5 소켓1155 3.1 GHz,1,0
CPU,인텔 코어I5 소켓1155 3.5 GHz,1,0
CPU,인텔 코어I5 소켓1155 3.2 GHz,5,0
